stamp,mode,armed,system_status,is_armable,fix_type,sats,lat,lon,alt_msl,alt_rel,roll,pitch,yaw,vx,vy,vz,groundspeed,airspeed,heading,rngf_dist,batt_voltage,batt_current,batt_level,last_hb,ekf_ok
1757118018.7382298,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008614095277152956,-0.0010845230426639318,-0.11417954415082932,0.01,-0.01,0.0,0.019651124253869057,0.019651727750897408,353,,12.6,0.0,100,0.7936890690000382,True
1757118018.839201,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008614095277152956,-0.0010845230426639318,-0.11417954415082932,0.01,-0.01,0.0,0.019651124253869057,0.019651727750897408,353,,12.6,0.0,100,0.8941210890000093,True
1757118018.939982,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008614095277152956,-0.0010845230426639318,-0.11417954415082932,0.01,-0.01,0.0,0.019651124253869057,0.019651727750897408,353,,12.6,0.0,100,0.012581490000002304,True
1757118019.0406692,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008639306761324406,-0.0010856761364266276,-0.11427303403615952,0.01,-0.01,0.0,0.01973596401512623,0.019736889749765396,353,,12.6,0.0,100,0.11588076700013517,True
1757118019.1413996,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008639306761324406,-0.0010856761364266276,-0.11427303403615952,0.01,-0.01,0.0,0.01973596401512623,0.019736889749765396,353,,12.6,0.0,100,0.21652319600002556,True
1757118019.2421317,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008635639678686857,-0.0010897124884650111,-0.11437205225229263,0.01,-0.01,0.0,0.019781606271862984,0.01978222467005253,353,,12.6,0.0,100,0.31311334800011537,True
1757118019.342843,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008635639678686857,-0.0010897124884650111,-0.11437205225229263,0.01,-0.01,0.0,0.019781606271862984,0.01978222467005253,353,,12.6,0.0,100,0.41359563100013474,True
1757118019.4439962,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008635639678686857,-0.0010897124884650111,-0.11437205225229263,0.01,-0.01,0.0,0.019781606271862984,0.01978222467005253,353,,12.6,0.0,100,0.5140921360000448,True
1757118019.5447106,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008724993676878512,-0.0011015672935172915,-0.11446519941091537,0.01,-0.01,0.0,0.02000132016837597,0.020001700147986412,353,,12.6,0.0,100,0.6156335330001639,True
1757118019.645418,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008724993676878512,-0.0011015672935172915,-0.11446519941091537,0.01,-0.01,0.0,0.02000132016837597,0.020001700147986412,353,,12.6,0.0,100,0.7160737240001254,True
1757118019.7463744,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008764369995333254,-0.0011073873611167073,-0.1145649179816246,0.01,-0.01,0.0,0.020052840933203697,0.02005336806178093,353,,12.6,0.0,100,0.8202605300000414,True
1757118019.8475068,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008764369995333254,-0.0011073873611167073,-0.1145649179816246,0.01,-0.01,0.0,0.020052840933203697,0.02005336806178093,353,,12.6,0.0,100,0.9206923130000177,True
1757118019.9483263,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008764369995333254,-0.0011073873611167073,-0.1145649179816246,0.01,-0.01,0.0,0.020052840933203697,0.02005336806178093,353,,12.6,0.0,100,6.359200006045285e-05,True
1757118020.0490258,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008773633744567633,-0.0011119968257844448,-0.11465887725353241,0.01,-0.01,0.0,0.02004261687397957,0.02004302851855755,353,,12.6,0.0,100,0.1189500450000196,True
1757118020.1497152,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008773633744567633,-0.0011119968257844448,-0.11465887725353241,0.01,-0.01,0.0,0.02004261687397957,0.02004302851855755,353,,12.6,0.0,100,0.21935318500004541,True
1757118020.2503777,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008837664499878883,-0.0011124365264549851,-0.11475345492362976,0.01,-0.01,0.0,0.020141378045082092,0.020141398534178734,353,,12.6,0.0,100,0.3139752029999272,True
